"","sampledate","depth","o2","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite"
"592","01/18/2011",0,13.6,422,5.12,0.012,16.9,31,10,"0.224",21,0.0121327014218009
"593","01/18/2011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","02/14/2011",0,13.6,1051,33.17,0.032,16.9,35,11,"0.216",24,0.0315604186489058
"595","03/21/2011",0,13.4,134,50.13,0.374,1.4,43,7,"0.284",36,0.37410447761194
"596","05/03/2011",0,10.6,1646,1154,0.651,NA,NA,NA,NA,NA,0.701093560145808
"597","05/16/2011",0,10.9,1714,975.37,0.569,NA,NA,NA,NA,NA,0.569060676779463
"598","06/03/2011",0,10,961,627.7,0.653,NA,NA,NA,NA,NA,0.653173777315297
"599","06/13/2011",0,9,1736,938.11,0.541,NA,NA,NA,NA,NA,0.540385944700461
"600","06/28/2011",0,9,1869,1029.9,0.551,NA,NA,NA,NA,NA,0.551043338683788
"601","07/11/2011",0,8.2,598,326.24,0.546,NA,NA,NA,NA,NA,0.545551839464883
"602","07/26/2011",0,8.3,1472,737.57,0.501,NA,NA,NA,NA,NA,0.501066576086957
"603","07/26/2011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","08/08/2011",0,8.3,1149,458.3,0.399,NA,NA,NA,NA,NA,0.398868581375109
"605","08/22/2011",0,8.6,1624,906.22,0.558,NA,NA,NA,NA,NA,0.55801724137931
"606","09/06/2011",0,8.6,1510,871.53,0.577,NA,NA,NA,NA,NA,0.577172185430464
"607","09/20/2011",0,9.3,582,254.34,0.436,NA,NA,NA,NA,NA,0.43701030927835
"608","10/04/2011",0,9.5,761,320.28,0.421,NA,NA,NA,NA,NA,0.420867279894875
"609","10/17/2011",0,9.5,876,463.28,0.529,NA,NA,NA,NA,NA,0.528858447488584
"610","10/31/2011",0,9,194,89.5,0.461,NA,NA,NA,NA,NA,0.461340206185567
"611","11/15/2011",0,9.7,145,59.28,0.409,NA,NA,NA,NA,NA,0.408827586206897
"612","11/15/2011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","01/12/2012",0,13.3,318,9.47,0.03,9,29,1,"0.372",28,0.0297798742138365
"614","02/21/2012",0,12.7,165,4.37,0.027,9.4,41,11,"0.285",30,0.0264848484848485
"615","02/21/2012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","04/02/2012",0,10.5,1153,1148.3,0.987,NA,NA,NA,NA,NA,0.9959236773634
"617","04/17/2012",0,11.2,1673,1483.5,0.886,NA,NA,NA,NA,NA,0.886730424387328
"618","05/02/2012",0,11.4,1916,1818.9,0.95,NA,NA,NA,NA,NA,0.949321503131524
"619","05/02/2012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","05/16/2012",0,10.1,1688,1587.7,0.941,NA,NA,NA,NA,NA,0.940580568720379
"621","05/31/2012",0,9.5,1694,1598.6,0.941,NA,NA,NA,NA,NA,0.943683589138135
"622","06/14/2012",0,8.9,113,85.45,0.759,NA,NA,NA,NA,NA,0.756194690265487
"623","06/27/2012",0,8.7,1564,1121,0.717,NA,NA,NA,NA,NA,0.716751918158568
"624","07/12/2012",0,8.4,1198,885.58,0.74,NA,NA,NA,NA,NA,0.739215358931553
"625","07/25/2012",0,8.2,293,186.03,0.636,NA,NA,NA,NA,NA,0.634914675767918
"626","08/09/2012",0,8.7,267,156.19,0.585,NA,NA,NA,NA,NA,0.58498127340824
"627","08/23/2012",0,8.9,523,304.79,0.582,NA,NA,NA,NA,NA,0.582772466539197
"628","08/23/2012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","09/05/2012",0,8.8,86,35.32,0.413,NA,NA,NA,NA,NA,0.410697674418605
"630","09/17/2012",0,9.1,333,196.98,0.591,NA,NA,NA,NA,NA,0.591531531531531
"631","10/04/2012",0,9.2,523,282.43,0.54,NA,NA,NA,NA,NA,0.540019120458891
"632","10/19/2012",0,9.1,208,185.99,0.894,NA,NA,NA,NA,NA,0.894182692307692
"633","10/31/2012",0,9.5,183,131.98,0.72,NA,NA,NA,NA,NA,0.72120218579235
"634","11/12/2012",0,9.9,129,81.46,0.631,NA,NA,NA,NA,NA,0.631472868217054
"635","01/14/2013",0,13.9,399,102.18,0.256,0,21,1,"0.319",20,0.25609022556391
"636","02/25/2013",0,12.3,353,3.25,0.009,21,45,16,"0.253",29,0.00920679886685552
"637","03/29/2013",0,11.7,1382,89.37,0.065,7.2,59,24,"0.257",35,0.0646671490593343
"638","05/16/2013",0,11,1476,1359.3,0.921,NA,NA,NA,NA,NA,0.920934959349593
"639","05/16/2013",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","05/29/2013",0,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","06/11/2013",0,9.8,981,830.08,0.847,NA,NA,NA,NA,NA,0.846156982670744
"642","06/25/2013",0,8.9,1286,1010.2,0.785,NA,NA,NA,NA,NA,0.785536547433904
"643","07/08/2013",0,8.6,1528,1195.8,0.783,NA,NA,NA,NA,NA,0.782591623036649
"644","07/23/2013",0,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","08/05/2013",0,9,369,227.94,0.618,NA,NA,NA,NA,NA,0.617723577235772
"646","08/21/2013",0,8.7,907,612.2,0.675,NA,NA,NA,NA,NA,0.67497243660419
"647","09/04/2013",0,8.6,1493,1064.1,0.713,NA,NA,NA,NA,NA,0.712726054922974
"648","09/04/2013",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","09/16/2013",0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","10/02/2013",0,9.5,988,646.61,0.654,NA,NA,NA,NA,NA,0.654463562753036
"651","10/15/2013",0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","10/29/2013",0,10.1,127,71.02,0.56,NA,NA,NA,NA,NA,0.559212598425197
"653","11/13/2013",0,9.9,615,332.8,0.541,NA,NA,NA,NA,NA,0.541138211382114
"654","01/30/2014",0,12.7,315,0.49,0.002,32.1,38,7,"0.225",31,0.00155555555555556
"655","01/30/2014",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","02/17/2014",0,12.1,331,1.26,0.004,22,50,32,"0.263",18,0.00380664652567976
"657","03/24/2014",0,11.6,1788,7.79,0.004,10.8,72,45,"0.166",27,0.00435682326621924
"658","05/19/2014",0,12,1208,787.91,0.652,NA,NA,NA,NA,NA,0.652243377483444
"659","06/17/2014",0,9.2,1387,1243.2,0.896,NA,NA,NA,NA,NA,0.896322999279019
"660","07/01/2014",0,8.6,384,299.92,0.781,NA,NA,NA,NA,NA,0.781041666666667
"661","07/01/2014",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","07/14/2014",0,8.8,2151,1607.1,0.747,NA,NA,NA,NA,NA,0.747140864714086
"663","07/28/2014",0,8.6,1104,960.1,0.87,NA,NA,NA,NA,NA,0.869655797101449
"664","08/12/2014",0,8.5,1714,1394,0.813,NA,NA,NA,NA,NA,0.813302217036173
"665","08/25/2014",0,8.6,937,643.28,0.686,NA,NA,NA,NA,NA,0.686531483457844
"666","08/25/2014",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","09/08/2014",0,9,1341,1099.4,0.82,NA,NA,NA,NA,NA,0.819835943325876
"668","09/22/2014",0,9.6,1493,1261.1,0.844,NA,NA,NA,NA,NA,0.844675150703282
"669","10/08/2014",0,10,1320,899.62,0.681,NA,NA,NA,NA,NA,0.681530303030303
"670","10/21/2014",0,10.2,659,478.65,0.727,NA,NA,NA,NA,NA,0.726327769347496
"671","11/10/2014",0,9.5,74,38.34,0.517,NA,NA,NA,NA,NA,0.518108108108108
"672","01/14/2015",0,11.6,290,3.54,0.012201,NA,NA,NA,NA,NA,0.0122068965517241
"673","01/14/2015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","02/24/2015",0,11.5,588,3.08,0.005228,NA,NA,NA,NA,NA,0.00523809523809524
"675","03/24/2015",0,10.4,1607,499.4,0.31081,NA,NA,NA,NA,NA,0.310765401369011
"676","04/23/2015",0,10.8,1741,1311.8,0.75393,NA,NA,NA,NA,NA,0.753475014359563
"677","05/05/2015",0,11.2,1852,1552.6,0.83845,NA,NA,NA,NA,NA,0.838336933045356
"678","05/18/2015",0,10.2,593,381.13,0.64297,NA,NA,NA,NA,NA,0.642715008431703
"679","06/01/2015",0,9.6,1629,1289.9,0.79179,NA,NA,NA,NA,NA,0.791835481890731
"680","06/17/2015",0,9.2,261,165.99,0.63531,NA,NA,NA,NA,NA,0.635977011494253
"681","06/29/2015",0,9,1517,1186.9,0.78378,NA,NA,NA,NA,NA,0.782399472643375
"682","07/15/2015",0,8.5,1751,1292.5,0.73891,NA,NA,NA,NA,NA,0.738149628783552
"683","07/28/2015",0,8.3,502,325.43,0.64831,NA,NA,NA,NA,NA,0.648266932270916
"684","08/11/2015",0,8.5,1776,1236.3,0.6985,NA,NA,NA,NA,NA,0.696114864864865
"685","08/11/2015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","08/24/2015",0,8.9,1162,657.98,0.56529,NA,NA,NA,NA,NA,0.566247848537005
"687","09/08/2015",0,8.5,146,88.47,0.6057,NA,NA,NA,NA,NA,0.605958904109589
"688","09/23/2015",0,9,809,566.17,0.70071,NA,NA,NA,NA,NA,0.699839307787392
"689","10/07/2015",0,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","10/07/2015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","10/21/2015",0,9.8,1395,856.94,0.614,NA,NA,NA,NA,NA,0.614293906810036
"692","11/17/2015",0,9.5,75,45.41,0.60313,NA,NA,NA,NA,NA,0.605466666666667
"693","11/17/2015",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","01/21/2016",0,14.1,266,21.01,0.079049,NA,NA,NA,NA,NA,0.078984962406015
"695","03/07/2016",0,14.7,962,268.95,0.27971,NA,NA,NA,NA,NA,0.279573804573805
"696","03/07/2016",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","04/26/2016",0,11.9,1509,1028.7,0.68263,NA,NA,NA,NA,NA,0.681709741550696
"698","05/10/2016",0,11.3,273,175.3,0.64255,NA,NA,NA,NA,NA,0.642124542124542
"699","05/24/2016",0,9.8,211,120.73,0.57209,NA,NA,NA,NA,NA,0.57218009478673
"700","06/06/2016",0,9.1,255,135.15,0.52917,NA,NA,NA,NA,NA,0.53
"701","06/20/2016",0,8.5,1466,1128.1,0.76979,NA,NA,NA,NA,NA,0.769508867667121
"702","07/06/2016",0,8.4,1912,1378.5,0.72086,NA,NA,NA,NA,NA,0.72097280334728
"703","07/21/2016",0,8.2,1546,1030,0.66658,NA,NA,NA,NA,NA,0.666235446313066
"704","08/02/2016",0,8.3,674,398.95,0.59203,NA,NA,NA,NA,NA,0.591913946587537
"705","08/18/2016",0,8.3,1372,1027.8,0.74903,NA,NA,NA,NA,NA,0.749125364431487
"706","08/30/2016",0,8.5,531,323.37,0.60855,NA,NA,NA,NA,NA,0.608983050847458
"707","09/12/2016",0,8.7,1574,1085.2,0.68936,NA,NA,NA,NA,NA,0.689453621346887
"708","09/28/2016",0,9.2,319,122.22,0.38362,NA,NA,NA,NA,NA,0.383134796238245
"709","10/12/2016",0,9.7,120,62.52,0.52015,NA,NA,NA,NA,NA,0.521
"710","10/24/2016",0,9.9,1178,664.55,0.56425,NA,NA,NA,NA,NA,0.564134125636672
"711","11/16/2016",0,9.7,458,64.51,0.14055,NA,NA,NA,NA,NA,0.14085152838428
"712","11/16/2016",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","01/17/2017",0,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","02/22/2017",0,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","03/27/2017",0,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","04/17/2017",0,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","05/02/2017",0,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","05/17/2017",0,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","05/31/2017",0,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","06/12/2017",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","06/28/2017",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","07/10/2017",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","07/25/2017",0,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","08/09/2017",0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","08/21/2017",0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","09/05/2017",0,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727","09/19/2017",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","10/02/2017",0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","10/17/2017",0,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","11/13/2017",0,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","01/15/2018",0,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","02/22/2018",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733","03/26/2018",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","05/15/2018",0,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","05/30/2018",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","06/11/2018",0,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","06/27/2018",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738","07/11/2018",0,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","07/25/2018",0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","08/07/2018",0,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","08/22/2018",0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","09/05/2018",0,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743","09/17/2018",0,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","10/02/2018",0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","10/15/2018",0,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","11/12/2018",0,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
